id,longitude,latitude,price,price_label,room_type,neighbourhood_cleansed,minimum_nights,review_scores_rating
39920205,-79.40452,43.65632,99.0,Cheap,Private room,Kensington-Chinatown,28,4.25
808698361356889502,-79.38752296972979,43.66592285002748,220.0,Expensive,Entire home/apt,Bay Street Corridor,2,4.92
28835907,-79.52859,43.69762,29.0,Cheap,Private room,Humber Heights-Westmount,28,4.27
16070944,-79.41384,43.67642,159.5,Average,Private room,Casa Loma,28,
1233658440308198209,-79.37915068119764,43.65343601155355,300.0,Expensive,Entire home/apt,Church-Yonge Corridor,2,
20902125,-79.34825,43.67802,99.0,Cheap,Entire home/apt,North Riverdale,28,4.78
962984186813594916,-79.23394908904281,43.79508856114692,200.0,Expensive,Entire home/apt,Malvern,28,4.92
6291683,-79.38981,43.63893,244.0,Expensive,Entire home/apt,Waterfront Communities-The Island,28,
34397368,-79.35034,43.66714,115.0,Average,Entire home/apt,North Riverdale,2,4.93
1148705623358289915,-79.37466,43.65488,180.0,Average,Entire home/apt,Church-Yonge Corridor,28,
1097129325632639113,-79.27167,43.72641,220.0,Expensive,Entire home/apt,Kennedy Park,28,5.0
605949504538129840,-79.191505,43.757641,98.0,Cheap,Private room,West Hill,28,
672682851708382719,-79.3241549,43.7116245,53.0,Cheap,Private room,Flemingdon Park,2,4.76
18429613,-79.41611,43.6634,126.0,Average,Private room,Palmerston-Little Italy,28,4.59
917467208194782789,-79.416906,43.638566,144.0,Average,Entire home/apt,Niagara,28,
53757513,-79.50706339463058,43.61381931491997,45.0,Cheap,Private room,Mimico (includes Humber Bay Shores),28,4.67
6262561,-79.51469421386719,43.701934814453125,45.0,Cheap,Private room,Weston,28,4.9
1193590422965033237,-79.39791977405548,43.63984316974302,253.0,Expensive,Entire home/apt,Waterfront Communities-The Island,1,4.73
19071480,-79.40245,43.6555,99.0,Cheap,Entire home/apt,Kensington-Chinatown,28,4.98
30376938,-79.38047,43.66511,180.0,Average,Entire home/apt,Church-Yonge Corridor,28,4.75
21975330,-79.40744,43.67102,81.0,Cheap,Entire home/apt,Annex,30,4.93
